"X","Y","Z"
2680730.08,1247849.4,412.35
2680730.06,1247848.87,412.38
2680730.06,1247848.4,412.34
2680730.05,1247847.9,412.35
2680730.04,1247847.43,412.33
2680730.02,1247846.9,412.33
2680730.01,1247846.4,412.33
2680725.17,1247854.4,412.3
2680725.23,1247846.9,412.34
2680725.26,1247847.39,412.35
2680725.29,1247847.9,412.33
2680725.31,1247848.41,412.34
2680725.33,1247848.97,412.35
2680725.37,1247849.45,412.37
2680725.4,1247850.01,412.4
2680725.43,1247850.48,412.37
2680725.46,1247850.98,412.34
2680725.48,1247851.46,412.32
2680725.51,1247852.01,412.3
2680725.54,1247852.52,412.3
2680725.56,1247853.03,412.3
2680725.62,1247846.85,412.34
2680725.65,1247847.38,412.36
2680725.68,1247847.91,412.34
2680725.7,1247848.4,412.36
2680725.73,1247848.95,412.37
2680725.76,1247849.43,412.37
2680725.79,1247849.93,412.35
2680725.81,1247850.42,412.35
2680725.85,1247850.96,412.33
2680725.87,1247851.49,412.33
2680725.9,1247851.99,412.31
2680725.93,1247852.52,412.32
2680725.96,1247853.02,412.32
2680725.99,1247853.5,412.31
2680726.52,1247849.47,412.36
2680726.55,1247850.02,412.35
2680726.58,1247850.54,412.35
2680726.6,1247851.04,412.31
2680726.62,1247851.55,412.33
2680726.66,1247852.07,412.34
2680726.69,1247852.55,412.32
2680726.75,1247853.57,412.3
2680726.35,1247846.42,412.35
2680726.37,1247846.97,412.36
2680726.41,1247847.45,412.37
2680726.44,1247848,412.37
2680726.46,1247848.48,412.36
2680726.49,1247848.99,412.36
2680727.33,1247853.7,412.3
2680726.94,1247846.55,412.36
2680726.97,1247847.1,412.36
2680726.99,1247847.58,412.37
2680727.02,1247848.08,412.37
2680727.05,1247848.57,412.35
2680727.08,1247849.11,412.34
2680727.1,1247849.63,412.35
2680727.12,1247850.14,412.38
2680727.16,1247850.65,412.34
2680727.19,1247851.15,412.32
2680727.22,1247851.64,412.31
2680727.24,1247852.14,412.32
2680727.33,1247846.74,412.36
2680727.81,1247855.4,412.3
2680727.87,1247856.43,412.31
2680727.85,1247847.72,412.37
2680727.89,1247848.2,412.37
2680727.92,1247848.74,412.35
2680727.95,1247849.23,412.35
2680727.97,1247849.73,412.35
2680728,1247850.2,412.32
2680728.03,1247850.76,412.33
2680728.06,1247851.28,412.32
2680728.08,1247851.78,412.3
2680728.1,1247852.3,412.33
2680728.14,1247852.8,412.3
2680728.17,1247853.29,412.31
2680727.37,1247847.24,412.35
2680727.4,1247847.73,412.36
2680727.43,1247848.28,412.37
2680727.46,1247848.8,412.36
2680727.48,1247849.3,412.36
2680727.51,1247849.82,412.35
2680727.54,1247850.32,412.33
2680727.56,1247850.81,412.34
2680727.58,1247851.31,412.32
2680727.62,1247851.83,412.31
2680727.65,1247852.38,412.31
2680727.68,1247852.86,412.31
2680727.71,1247853.4,412.31
2680727.73,1247853.88,412.3
2680727.76,1247854.39,412.31
2680727.81,1247846.65,412.38
2680727.83,1247847.17,412.38
2680728.6,1247846.73,412.38
2680728.62,1247847.2,412.35
2680728.65,1247847.75,412.36
2680728.67,1247848.22,412.37
2680728.7,1247848.74,412.36
2680728.73,1247849.22,412.34
2680728.76,1247849.76,412.34
2680728.79,1247850.28,412.35
2680728.81,1247850.79,412.3
2680728.83,1247851.31,412.33
2680728.87,1247851.81,412.32
2680728.89,1247852.29,412.32
2680728.92,1247852.8,412.31
2680728.95,1247853.33,412.31
2680729.03,1247854.9,412.3
2680729.06,1247855.38,412.34
2680729.15,1247848.9,412.39
2680729.18,1247849.43,412.33
2680729.21,1247849.93,412.33
2680729.23,1247850.46,412.31
2680729.26,1247850.96,412.3
2680729.28,1247851.45,412.34
2680729.31,1247851.96,412.32
2680729.33,1247852.48,412.35
2680729.37,1247853.01,412.3
2680729.04,1247846.89,412.37
2680729.06,1247847.39,412.36
2680729.1,1247847.89,412.35
2680729.12,1247848.37,412.34
2680729.46,1247846.42,412.36
2680729.48,1247846.93,412.37
2680729.51,1247847.42,412.34
2680729.54,1247847.97,412.33
2680729.56,1247848.49,412.35
2680729.58,1247848.99,412.34
2680729.62,1247849.51,412.31
2680729.65,1247850.03,412.34
2680729.67,1247850.5,412.34
2680729.7,1247851,412.33
2680729.73,1247851.54,412.33
2680729.76,1247852.08,412.33
2680729.78,1247852.55,412.31
2680730.04,1247846.79,412.34
2680730.06,1247847.32,412.35
2680730.08,1247847.83,412.33
2680730.12,1247848.36,412.37
2680730.14,1247848.85,412.35
2680730.17,1247849.34,412.36
2680730.2,1247849.84,412.31
2680730.22,1247850.37,412.34
2680730.25,1247850.9,412.34
